Month,Day,Team,Home_Loss
7,6,Cubs,1
7,6,Dodgers,2
7,6,Giants,1
7,6,Indians,1
7,6,Rays,1
7,6,White Sox,1
7,7,Cardinals,1
7,7,Diamondbacks,1
7,7,Indians,1
7,7,Rays,1
7,8,Astros,1
7,8,Cubs,1
7,8,Dodgers,1
7,8,Mets,1
7,8,Orioles,1
7,8,Rangers,1
7,9,Astros,1
7,9,Blue Jays,1
7,9,Brewers,1
7,9,Indians,1
7,9,Mets,1
7,9,Rockies,1
7,9,Royals,1
7,9,White Sox,1
7,10,Brewers,1
7,10,Indians,1
7,10,Mets,1
7,10,Pirates,1
7,10,Rangers,2
7,10,Rockies,1
7,10,Royals,1
7,10,White Sox,1
7,15,Braves,1
7,15,Phillies,1
7,15,Rays,1
7,15,Yankees,1
7,16,Braves,1
7,16,Cardinals,1
7,16,Diamondbacks,1
7,16,Mariners,1
7,16,Rays,1
7,16,Reds,1
7,16,Tigers,1
7,16,Twins,1
7,16,Yankees,1
7,17,Athletics,1
7,17,Cardinals,1
7,17,Cubs,1
7,17,Mariners,1
7,17,Nationals,1
7,17,Phillies,1
7,17,Twins,1
7,18,Phillies,1
7,19,Cubs,1
7,19,Nationals,1
7,19,Phillies,1
7,19,Reds,1
7,19,Tigers,1
7,20,Athletics,1
7,20,Diamondbacks,2
7,20,Mariners,1
7,20,Pirates,1
7,20,Rockies,2
7,20,Royals,2
7,20,Tigers,1
7,21,Nationals,1
7,21,Phillies,1
7,21,Yankees,1
7,22,Athletics,1
7,22,Blue Jays,1
7,22,Marlins,1
7,22,Nationals,1
7,22,Pirates,1
7,22,Red Sox,1
7,22,White Sox,1
7,23,Blue Jays,1
7,23,Brewers,1
7,23,Cardinals,1
7,23,Red Sox,1
7,23,Royals,1
7,23,White Sox,1
7,23,Yankees,1
7,24,Brewers,1
7,24,Marlins,1
7,24,Nationals,1
7,24,Reds,1
7,24,Royals,1
7,25,Cardinals,1
7,25,Marlins,1
7,25,Red Sox,1
7,26,Astros,1
7,26,Giants,1
7,26,Mets,1
7,26,Orioles,1
7,26,Pirates,1
7,26,Red Sox,1
7,26,Royals,1
7,27,Astros,1
7,27,Blue Jays,1
7,27,Dodgers,1
7,27,Giants,1
7,27,Indians,1
7,27,Mets,1
7,27,Orioles,1
7,27,Rangers,1
7,27,Red Sox,1
7,27,Royals,1
7,27,Twins,1
7,28,Braves,1
7,28,Brewers,1
7,28,Marlins,1
7,28,Mets,1
7,28,Rangers,1
7,28,Twins,1
7,29,Giants,1
7,29,Marlins,1
7,29,Mets,1
7,30,Angels,1
7,30,Braves,1
7,30,Cubs,1
7,30,Giants,1
7,30,Mets,1
7,30,Padres,1
7,30,Twins,1
7,31,Angels,1
7,31,Blue Jays,1
7,31,Dodgers,1
7,31,Padres,1
8,1,Indians,1
8,1,Mets,1
8,1,Rays,1
8,2,Braves,1
8,2,Diamondbacks,1
8,2,Indians,1
8,2,Mariners,1
8,2,Rays,1
8,3,Astros,1
8,3,Diamondbacks,2
8,3,Indians,1
8,3,Padres,1
8,3,Reds,1
8,4,Angels,1
8,4,Astros,1
8,4,Orioles,1
8,4,Phillies,1
8,4,Tigers,1
8,4,Yankees,1
8,5,Astros,1
8,5,Mariners,1
8,5,Rays,1
8,5,Rockies,1
8,6,Astros,1
8,6,Athletics,2
8,6,Cardinals,1
8,6,Dodgers,1
8,6,Nationals,1
8,6,Padres,1
8,6,Rockies,1
8,6,Royals,1
8,6,White Sox,1
8,6,Yankees,1
8,7,Astros,1
8,7,Athletics,1
8,7,Cardinals,1
8,7,Diamondbacks,1
8,7,Padres,1
8,7,Pirates,1
8,7,Rays,1
8,7,Rockies,1
8,7,Tigers,1
8,7,White Sox,1
8,8,Brewers,1
8,8,Marlins,1
8,9,Blue Jays,1
8,9,Mets,1
8,9,Nationals,1
8,9,Rockies,2
8,10,Brewers,1
8,10,Cardinals,1
8,10,Dodgers,1
8,10,Marlins,1
8,10,Mets,1
8,10,Pirates,1
8,10,Red Sox,1
8,10,Royals,1
8,10,Twins,1
8,11,Athletics,1
8,11,Mets,1
8,11,Rangers,1
8,11,Red Sox,1
8,11,Twins,2
8,12,Blue Jays,1
8,12,Marlins,1
8,12,Mets,1
8,12,Nationals,1
8,13,Brewers,2
8,13,Cubs,1
8,13,Dodgers,1
8,13,Giants,1
8,13,Marlins,1
8,13,Twins,1
8,14,Athletics,2
8,14,Dodgers,1
8,14,Giants,1
8,14,Rangers,2
8,14,Twins,1
8,14,Yankees,1
8,15,Cubs,1
8,15,Indians,1
8,15,Reds,1
8,15,Tigers,1
8,16,Angels,1
8,16,Braves,1
8,16,Giants,1
8,16,Orioles,1
8,16,Phillies,1
8,16,Rockies,1
8,16,Tigers,1
8,16,Yankees,1
8,17,Astros,2
8,17,Braves,1
8,17,Diamondbacks,1
8,17,Giants,2
8,17,Indians,1
8,17,Orioles,1
8,17,Phillies,1
8,17,Tigers,1
8,17,Yankees,1
8,18,Angels,1
8,18,Braves,1
8,19,Braves,1
8,19,Orioles,1
8,19,Phillies,1
8,19,Pirates,1
8,19,Rays,1
8,19,Tigers,1
8,20,Angels,1
8,20,Braves,1
8,20,Giants,1
8,20,Indians,1
8,20,Orioles,1
8,20,Pirates,1
8,20,Tigers,1
8,20,White Sox,1
8,21,Angels,1
8,21,Mariners,1
8,21,Orioles,1
8,21,Padres,1
8,21,Phillies,1
8,21,Pirates,1
8,21,Reds,1
8,21,Rockies,1
8,22,Giants,1
8,22,Pirates,1
8,22,Rays,1
8,22,Reds,1
8,23,Athletics,1
8,23,Marlins,1
8,23,Padres,1
8,23,Rays,1
8,24,Blue Jays,1
8,24,Cardinals,1
8,24,Diamondbacks,1
8,24,Mariners,2
8,24,Nationals,1
8,24,Padres,2
8,24,Pirates,1
8,24,Reds,1
8,24,Twins,1
8,25,Blue Jays,1
8,25,Cardinals,1
8,25,Marlins,1
8,25,Twins,2
8,25,White Sox,1
8,26,Brewers,1
8,26,Diamondbacks,1
8,26,Dodgers,1
8,26,Red Sox,1
8,27,Brewers,2
8,27,Cardinals,1
8,27,Dodgers,1
8,27,Marlins,1
8,27,Nationals,1
8,27,Rangers,1
8,27,Tigers,1
8,27,White Sox,1
8,28,Astros,1
8,28,Brewers,1
8,28,Cardinals,1
8,28,Diamondbacks,1
8,28,Giants,1
8,28,Marlins,1
8,28,Mets,1
8,28,Nationals,1
8,28,Tigers,1
8,28,Yankees,1
8,29,Brewers,1
8,29,Orioles,1
8,29,Phillies,1
8,29,Red Sox,1
8,30,Phillies,1
8,30,Red Sox,1
8,31,Brewers,1
8,31,Giants,1
8,31,Orioles,1
8,31,Phillies,1
8,31,Royals,1
9,1,Mets,1
9,1,Rockies,1
9,1,Royals,1
9,2,Mets,1
9,2,Phillies,1
9,2,Pirates,1
9,3,Athletics,1
9,3,Cubs,1
9,3,Dodgers,1
9,3,Phillies,1
9,3,Pirates,1
9,3,Royals,1
9,3,Twins,1
9,4,Athletics,1
9,4,Mariners,2
9,4,Orioles,1
9,4,Phillies,1
9,4,Pirates,1
9,4,Rangers,1
9,4,Rays,1
9,4,Reds,1
9,4,Rockies,2
9,4,Royals,1
9,4,Twins,1
9,5,Athletics,1
9,5,Brewers,1
9,5,Indians,1
9,5,Marlins,1
9,5,Pirates,1
9,5,Rays,1
9,5,Reds,1
9,5,Twins,1
9,5,White Sox,1
9,6,Indians,1
9,6,Marlins,1
9,6,Pirates,1
9,6,Rays,1
9,6,Reds,1
9,7,Mariners,1
9,7,Padres,1
9,7,Reds,1
9,7,Rockies,1
9,7,Twins,1
9,8,Cardinals,1
9,8,Nationals,1
9,8,Padres,1
9,9,Blue Jays,1
9,9,Braves,1
9,9,Pirates,1
9,10,Angels,1
9,10,Astros,1
9,10,Athletics,2
9,10,Diamondbacks,1
9,10,Marlins,1
9,10,Padres,1
9,10,Pirates,1
9,10,Tigers,1
9,10,Twins,1
9,10,White Sox,1
9,11,Angels,1
9,11,Athletics,1
9,11,Blue Jays,1
9,11,Braves,1
9,11,Cardinals,1
9,11,Diamondbacks,2
9,11,Padres,1
9,11,Pirates,1
9,11,Tigers,1
9,11,Twins,1
9,11,White Sox,1
9,11,Yankees,1
9,12,Astros,1
9,12,Royals,1
9,12,Yankees,1
9,13,Angels,1
9,13,Astros,1
9,13,Blue Jays,1
9,13,Braves,1
9,13,Cardinals,1
9,13,Giants,1
9,13,Nationals,1
9,13,Phillies,1
9,13,Red Sox,1
9,13,Royals,1
9,13,Tigers,1
9,14,Angels,1
9,14,Astros,1
9,14,Blue Jays,1
9,14,Braves,1
9,14,Cardinals,1
9,14,Giants,2
9,14,Red Sox,1
9,14,Reds,1
9,14,Royals,1
9,14,Yankees,1
9,15,Angels,1
9,15,Orioles,1
9,15,Phillies,1
9,15,Royals,1
9,15,Tigers,1
9,15,White Sox,1
9,16,Angels,1
9,16,Braves,1
9,16,Cubs,1
9,16,Reds,1
9,17,Angels,1
9,17,Cubs,1
9,17,Diamondbacks,1
9,17,Mariners,1
9,17,Orioles,1
9,17,Reds,2
9,17,Royals,1
9,18,Cubs,1
9,18,Diamondbacks,1
9,18,Giants,2
9,18,Indians,1
9,18,Mariners,1
9,18,Phillies,1
9,18,Rangers,2
9,19,Mets,1
9,19,Orioles,1
9,20,Athletics,1
9,20,Mariners,1
9,20,Mets,1
9,20,Orioles,1
9,20,Rays,1
9,20,Rockies,1
9,21,Athletics,2
9,21,Brewers,1
9,21,Dodgers,1
9,21,Mariners,1
9,21,Marlins,1
9,21,Mets,1
9,21,Orioles,1
9,21,Rays,1
9,21,Rockies,1
9,21,Twins,1
9,22,Brewers,1
9,22,Marlins,1
9,22,Orioles,1
9,22,Padres,1
9,22,Rangers,1
9,22,Twins,1
9,23,Astros,1
9,23,Marlins,1
9,23,Padres,1
9,23,Rays,1
9,23,Twins,1
9,24,Astros,2
9,24,Athletics,2
9,24,Brewers,1
9,24,Cubs,1
9,24,Indians,1
9,24,Mets,1
9,24,Pirates,1
9,24,Rays,1
9,24,Tigers,1
9,24,Twins,1
9,25,Brewers,1
9,25,Indians,1
9,25,Padres,1
9,25,Pirates,1
9,25,Rays,1
9,25,Tigers,1
9,25,Twins,1
9,26,Blue Jays,1
9,26,Nationals,1
9,26,Pirates,1
9,26,Tigers,1
9,27,Astros,1
9,27,Cardinals,1
9,27,Marlins,1
9,27,Pirates,1
9,27,Rangers,1
9,28,Astros,1
9,28,Blue Jays,1
9,28,Marlins,1
9,28,Nationals,1
9,29,Blue Jays,1
9,29,Cardinals,1
9,29,Giants,1
9,29,Royals,1
9,30,Braves,1
9,30,Nationals,1
9,30,Padres,1
9,30,Phillies,1
9,30,Reds,1
9,30,White Sox,1
9,30,Yankees,1
10,1,Phillies,1
10,1,Red Sox,1
10,1,Royals,2
10,1,White Sox,1
10,2,Angels,1
10,2,Mariners,2
10,2,Rangers,2
10,2,Red Sox,1
10,2,Reds,1
10,2,Rockies,2
10,2,Royals,1
10,2,White Sox,1
10,2,Yankees,1
